"","Year","Value"
"1",188001,-0.01
"2",188002,-0.27
"3",188003,-0.3
"4",188004,-0.07
"5",188005,0.03
"6",188006,-0.06
"7",188007,-0.16
"8",188008,-0.17
"9",188009,-0.18
"10",188010,-0.31
"11",188011,-0.53
"12",188012,-0.17
"13",188101,0
"14",188102,-0.05
"15",188103,-0.02
"16",188104,0.04
"17",188105,0
"18",188106,-0.13
"19",188107,-0.04
"20",188108,-0.03
"21",188109,-0.27
"22",188110,-0.4
"23",188111,-0.44
"24",188112,-0.18
"25",188201,0.13
"26",188202,0
"27",188203,0.02
"28",188204,-0.34
"29",188205,-0.29
"30",188206,-0.22
"31",188207,-0.12
"32",188208,0.02
"33",188209,0.05
"34",188210,-0.42
"35",188211,-0.22
"36",188212,-0.25
"37",188301,-0.56
"38",188302,-0.54
"39",188303,-0.22
"40",188304,-0.3
"41",188305,-0.2
"42",188306,-0.05
"43",188307,-0.12
"44",188308,-0.1
"45",188309,-0.19
"46",188310,-0.22
"47",188311,-0.29
"48",188312,-0.05
"49",188401,-0.15
"50",188402,-0.21
"51",188403,-0.4
"52",188404,-0.32
"53",188405,-0.15
"54",188406,-0.26
"55",188407,-0.41
"56",188408,-0.43
"57",188409,-0.38
"58",188410,-0.28
"59",188411,-0.43
"60",188412,-0.17
"61",188501,-0.7
"62",188502,-0.36
"63",188503,-0.08
"64",188504,-0.3
"65",188505,-0.32
"66",188506,-0.36
"67",188507,-0.28
"68",188508,-0.37
"69",188509,-0.26
"70",188510,-0.15
"71",188511,-0.09
"72",188512,0.17
"73",188601,-0.1
"74",188602,-0.37
"75",188603,-0.39
"76",188604,-0.18
"77",188605,-0.2
"78",188606,-0.25
"79",188607,-0.17
"80",188608,-0.32
"81",188609,-0.3
"82",188610,-0.27
"83",188611,-0.24
"84",188612,-0.03
"85",188701,-0.57
"86",188702,-0.45
"87",188703,-0.11
"88",188704,-0.14
"89",188705,-0.19
"90",188706,-0.19
"91",188707,-0.29
"92",188708,-0.41
"93",188709,-0.1
"94",188710,-0.36
"95",188711,-0.06
"96",188712,-0.09
"97",188801,-0.47
"98",188802,-0.36
"99",188803,-0.32
"100",188804,-0.09
"101",188805,-0.08
"102",188806,0.05
"103",188807,0.03
"104",188808,-0.17
"105",188809,-0.03
"106",188810,0.03
"107",188811,-0.16
"108",188812,0
"109",188901,-0.23
"110",188902,0.03
"111",188903,0.14
"112",188904,0.12
"113",188905,-0.07
"114",188906,-0.08
"115",188907,-0.17
"116",188908,-0.1
"117",188909,-0.28
"118",188910,-0.32
"119",188911,-0.53
"120",188912,-0.3
"121",189001,-0.49
"122",189002,-0.57
"123",189003,-0.32
"124",189004,-0.16
"125",189005,-0.44
"126",189006,-0.28
"127",189007,-0.27
"128",189008,-0.4
"129",189009,-0.41
"130",189010,-0.28
"131",189011,-0.43
"132",189012,-0.31
"133",189101,-0.55
"134",189102,-0.82
"135",189103,-0.24
"136",189104,-0.28
"137",189105,-0.19
"138",189106,-0.2
"139",189107,-0.17
"140",189108,-0.17
"141",189109,-0.02
"142",189110,-0.35
